SessionID,ExposureID,TrafficChannel,SessionDuration,Bounced,PagesperSession
SNL553Y09Y,P1314548,Display,63,No,3
SDHP1FSQHV,P3293802,Display,89,No,2
ZHAXETYWHW,O7139284,Referral,138,No,3
CETMSL49MG,O9981026,SEO,168,No,1
829V5RQ36N,P6795770,Display,333,No,6
KS8UA45PQD,O4611428,SEO,77,No,2
T6INGHLQCZ,P7473868,Display,152,No,3
9AF88HWQYX,P8104225,Paid Search,111,No,1
WA1XOP3NWL,P6917296,Display,127,Yes,3
H8DCXMGNPX,O5535510,Referral,62,No,3
NSOVADENZ4,O5938603,Referral,125,No,3
F4T24P30RK,P9674200,Paid Search,108,Yes,3
DH7B1EWFYJ,P8564774,Display,61,No,1
V2CFTP8KL8,P5272622,Display,111,Yes,3
T7G6NWOW32,O5404895,SEO,149,Yes,3
PKQROZ4DOB,O1749746,Direct,108,Yes,2
636F5ZNPE6,P5078460,Display,477,No,5
OID69POGZ9,O2808709,Direct,132,No,1
ZKI1M9F9FH,P9511177,Paid Search,101,No,1
UE2MLWI2SJ,P7667219,Display,105,Yes,1
HAGS1T4KC0,O7396364,SEO,131,No,3
KVSQUEI012,O3861373,SEO,69,No,3
9TBMDL4MXF,P6803057,Display,125,No,1
278XA6XZOW,P9476623,Paid Search,176,Yes,3
FU5VMS47ZS,O4766385,SEO,174,No,2
0ID00VRIYT,P9891807,Display,152,Yes,3
90QG809G3V,P5815593,Paid Search,114,No,2
SGDJ3EB47T,P1325940,Display,80,No,2
PBH6CEUX2C,P7194003,Display,64,No,1
AZZXWEBOSY,O1923260,Referral,155,Yes,2
G9ES24FD58,P7692064,Paid Search,533,No,4
DSVP70NX5D,O9625763,SEO,135,No,2
AKOHU695VX,O2053196,Referral,465,No,6
G4JTNLN4XG,P3841398,Paid Search,147,Yes,3
I43ZGM5BNJ,O3929899,Referral,174,No,1
XLS5YEBYWJ,P8914479,Paid Search,134,Yes,2
IL213R09H0,O6328039,Direct,105,No,3
NE9ORRP45O,O4836156,SEO,175,No,3
PLXC5YHNU3,O2309899,Direct,70,No,2
I7C0LBJKT6,O7747709,Referral,134,No,2
TNSQTCXCJL,O6062649,SEO,164,No,2
5G5KWUEOKO,O6080014,Referral,137,No,1
0GV2IE4ARP,P3927545,Display,106,No,1
NYZHQ3AZZ2,O5763832,Direct,99,Yes,3
R7SJEMS88A,O9926007,Referral,122,No,2
C5ZR05Y07S,P5414899,Display,173,No,2
LYHF3G76OC,P6231623,Paid Search,88,No,3
V7C5XAQI7P,O9181231,SEO,71,Yes,2
N9V0UB5E1Y,P9710494,Display,113,No,3
XGTC0IWFHN,O1960406,Direct,88,Yes,1
0P8HSA9IMX,O3077838,Referral,142,Yes,3
6VUHAR6L68,P5634348,Paid Search,118,Yes,2
T07D2G20QO,P1673234,Display,64,No,1
VRTERML0OM,O4434444,Referral,66,No,2
SOET619EW5,O3311005,SEO,89,Yes,2
FEAO5GIX72,P9316543,Paid Search,169,Yes,1
UPER75MPKR,O4643057,Referral,96,Yes,3
EPIJXJUN5U,O5542402,Referral,96,No,3
622VTREENN,P6448727,Display,113,No,3
90DD7DS21L,O2441199,Direct,121,Yes,2
85KEI6TLO2,P8839751,Display,113,No,2
FVT25L9U7M,P7818291,Display,157,No,2
YWK64X3P8Z,O1062487,Referral,76,No,1
R5ZPCHLVEV,P3762021,Paid Search,164,No,3
KY9APETV23,O5516238,Direct,176,No,1
UKAPDUMA8U,O5432016,Referral,132,No,3
OJX1TKTFLB,P9100662,Display,558,No,6
F9YJFV6CCX,O6215037,Direct,443,No,6
MWAP4G8VC1,O6658993,SEO,163,Yes,2
TSTSV4U677,O6697586,Referral,152,No,1
R9C961LV1A,P2879390,Display,87,Yes,3
AD62IBGKTO,P3881614,Paid Search,102,No,2
4SY5R4L465,P5049320,Paid Search,152,No,1
6P91KYH148,O4614031,Referral,115,Yes,2
6XN9KJ2FH7,P2688366,Display,93,No,3
LHS874N6LW,O4248052,SEO,80,Yes,3
DUZIHOXTSS,O7232783,Direct,62,No,2
E8V0DZYAQL,P5769523,Display,132,Yes,1
LUIGG7OJ5T,P9459129,Display,168,Yes,2
CLZHDP73TB,P7955500,Paid Search,68,No,1
N8WFL6NRZ5,P3966731,Display,158,No,2
Y1F790GI6W,P5326533,Paid Search,154,No,2
F4Z9669IGO,P7209393,Paid Search,173,No,2
DF1GJB1E9R,O4820250,Direct,177,No,1
TMBLR5ZDNB,P9270322,Paid Search,171,No,3
242FJ4LDCR,O6183841,Direct,167,No,1
9E74VVVNKP,P9250279,Display,175,Yes,1
H5R66UQU1G,P8008092,Paid Search,79,Yes,2
CVH57QFEAJ,O3589062,Referral,100,No,1
ZEQC7S3BRX,P6318990,Display,81,No,1
6598IVM6IW,P6402573,Paid Search,133,No,1
HWG0MBDU5X,O9025033,SEO,144,No,1
7G6MIR6P83,O7342658,Referral,109,Yes,3
TZ5TOGREN7,O1243333,Referral,120,Yes,1
XSSV2FQKIP,P6043878,Display,132,Yes,1
VMPCNC782Z,P6474305,Display,159,Yes,2
024HSUFH44,P7313043,Display,127,Yes,2
WIYJ0T6ZC2,P6320949,Paid Search,157,Yes,3
CABXBN0PGT,O8663126,Referral,147,Yes,1
3GG2AZUH1U,P6020577,Display,104,No,2
205GUS8N32,P9383977,Display,125,No,1
T4N4S06QEN,O7653198,Referral,129,Yes,3
J910PR5N1D,O1172268,Referral,166,Yes,2
FHJO92MU7Z,O6192141,Referral,147,No,2
5TJTWZXBQ7,P3679521,Paid Search,126,No,1
V7RE2BOSB3,P3576144,Display,107,Yes,3
6PTO4864GC,O1803627,Direct,165,No,2
40A6MK0XS7,P9731859,Paid Search,121,No,1
EZLAOSMA3A,O5830853,SEO,130,No,3
1HDE5SQRLH,O8881176,SEO,89,Yes,2
LAHXE2EZK4,O1176390,Direct,74,No,3
O57NFQUN7I,P3309212,Paid Search,76,Yes,1
3MGF4ENQJ5,O3160039,Direct,173,Yes,3
QWERIBVFK7,O5239336,Referral,62,No,1
7KCPPI54DT,O2645992,Referral,166,Yes,1
YM2RAD8RS4,P9999681,Display,77,No,1
G4YJ7WDV3S,O6073103,Referral,71,No,2
FNCRY9GE6N,O4469991,Direct,135,No,1
YLA3A48JS8,O9629761,Direct,106,No,2
SFLMH6FEPQ,P9565747,Display,90,Yes,3
HC3SCN49BW,O5804744,Direct,176,No,2
GTUGWGN7SH,O5477390,Direct,94,Yes,2
3O1B00KX6M,P7474707,Paid Search,111,No,1
BBF1F97QML,P6630863,Paid Search,136,No,1
15V389LLUQ,O7540130,SEO,150,Yes,2
QS8PBACD5G,O6790641,Referral,434,No,5
1HAXNVSY03,O2313958,Referral,83,No,3
EC3N4932I7,O1308488,Referral,171,No,1
31GO98Q3E8,P2559377,Paid Search,114,No,2
U9SMDWSA47,P2313953,Display,350,No,5
BZ6RVY4JY9,P4315237,Display,110,No,3
7RT835U8QT,O8791963,SEO,113,Yes,3
L5FDW7DBB3,O9516574,Direct,85,No,2
M8CK86VIGO,P8298958,Paid Search,67,Yes,2
Y2K827RCO2,P9384160,Paid Search,172,No,1
KIN65BSJQD,O9600974,Referral,68,No,1
N4DCTC8NOC,P2414967,Display,176,No,1
H5U6JAM1NJ,O9945308,SEO,86,No,1
0JQ8QSELG3,P1785444,Paid Search,133,No,2
HGCAGAUMIW,O6249247,Referral,80,No,1
FWUSNQDI2U,P9581194,Paid Search,468,No,6
FGCKSQEQDV,P1316240,Display,120,No,3
GEU2JP6OEW,P8620570,Paid Search,154,Yes,2
FA4LYN5B55,O4914624,Direct,157,No,1
ZY3X0SHVBL,O4273996,Direct,63,No,3
S21LSFVH7L,P8438943,Display,133,Yes,2
JVPCJ6IOOD,O9223234,Referral,135,No,2
HD0SLPLINS,O6078968,Direct,76,No,1
HCKU7DI8IC,O3134216,Referral,97,No,2
159V4KK1O5,O9088603,SEO,164,No,1
XF0U7DDOMA,P4080141,Paid Search,158,Yes,3
4KH22L1JZL,P8512672,Paid Search,85,No,2
0QPXZBWRIS,P7069396,Display,173,No,2
7HRY9MRI58,P2415533,Display,117,No,1
4OY7VE9XGV,P1551864,Display,172,No,2
0RNO5FMDYZ,P4920076,Paid Search,110,No,2
WKLD2UYHU9,O1329413,Referral,138,No,3
8SC80QKGF6,P7603828,Paid Search,110,Yes,3
5FG6NGA204,P8232474,Paid Search,139,No,2
AYIL3UGWK1,P7175159,Display,545,No,5
388BETAN03,P7613780,Display,74,No,3
E60Z959RJP,P8963864,Display,84,Yes,1
ESMY5O2OPX,P8060008,Paid Search,147,No,1
NZHPP7Z0MP,O3770294,SEO,171,No,1
HRQPVFJIWP,P3795692,Display,157,No,1
41KN0I4WX9,O5743890,Direct,148,No,3
Z7SXBPYKCM,P6820898,Display,175,No,1
AU47E7D3JQ,O8964479,Direct,150,No,1
XL6DJY0EWE,P4428063,Paid Search,97,No,3
PWCL5J3AUF,O7282959,Referral,93,No,2
O1RNAN9DYM,O3006874,Referral,134,No,3
HBFX2RJS0N,P2538941,Display,103,No,1
O1SOHVX9ZD,O1925377,Direct,155,No,1
WSGV7N6QB4,O3353179,Direct,114,No,1
COISGTJ2CM,P7632172,Paid Search,327,No,6
AMT46BJJFC,O2529385,Referral,108,Yes,1
WI3ZAW3Z3I,P8870609,Paid Search,176,No,1
4JAKG5ZIZD,P1872213,Display,110,Yes,2
VKR5GH1FL1,O3833267,Referral,79,Yes,3
2RY17QM7LC,P4672201,Display,172,No,3
DC7P67UW4X,O3606978,SEO,96,No,3
VJPGN9Y2CA,O2389153,SEO,98,No,2
VQ7UJAML8E,O3419221,Direct,97,No,1
Y4I9HVLWHB,O5747964,Direct,122,No,2
M0UOBC1MC8,O8665003,SEO,75,Yes,3
M03OUV8OYY,O2958617,Direct,128,No,3
3Z8E7EDBH5,O5050046,Direct,106,No,1
4UFOAFY06L,O3019836,Direct,93,No,2
TFDIOM24TV,O2987030,Direct,149,No,1
ND8VCK22U0,P5180357,Display,178,No,2
4TTXV4II7W,P9124742,Paid Search,427,No,5
NBP4XIC2XQ,P5676511,Display,103,No,1
5AWB7YG7CQ,P1542631,Paid Search,132,Yes,1
F09NLLZ1V8,O1146207,SEO,141,No,3
45AS283XH6,O4797068,Direct,122,Yes,2
KZMRWRGSCH,P3266427,Paid Search,111,No,3
YEXDVFPJZP,P9464534,Display,95,No,3
9XB9W0SK0A,O1914196,SEO,347,No,6
3NAQRZH5EP,O1640906,Direct,125,No,3
MW52NWY9S0,P4962979,Paid Search,125,No,2
AP38IF9FPM,O1679383,SEO,149,Yes,2
CBKAEX98ZT,P3966714,Display,77,No,1
AAB11Q7G3E,O7632517,Referral,77,No,3
8YVK4KJLWM,O7709343,Direct,62,Yes,1
HEL624IS9K,P4591893,Paid Search,160,Yes,1
MRFMU2HV35,P9426818,Paid Search,166,Yes,1
EE7EJMZYUU,P1292971,Paid Search,154,No,1
H3YN7EHVKO,O2875665,Direct,85,No,2
WWGX0GOKPV,P1699090,Display,146,No,1
Y9KL5SM30E,O4704178,Direct,139,No,3
OBV4OVXNHR,O1118791,Referral,68,No,1
9VR31M94LL,O4123471,Direct,155,No,2
WXIJ59JKKW,O6129983,Direct,135,No,1
DFQQYYLFKA,O5834979,Direct,122,No,3
0JS1Y4ITNB,P3669313,Paid Search,74,No,1
FAQKFNHMRH,O4081461,SEO,355,No,4
6PR8GY01RG,P1815136,Display,584,No,5
7LJ517TUOY,O4166749,SEO,175,No,2
R4WRWPHUQF,O5877382,Direct,167,No,2
N0ZGRNNO66,P3930739,Paid Search,160,No,2
I07G5K8SVX,P2731180,Paid Search,133,No,3
GW08AV17FB,P9025263,Paid Search,115,No,3
53QENNJ59R,P5625794,Paid Search,76,No,1
2W7R9OTRN6,O7133816,Direct,75,No,1
O5DEOWMKOI,O4292206,SEO,76,Yes,1
YWM1LT5O07,P3760845,Paid Search,397,No,4
RHG7T0ZM7P,O3520217,SEO,406,No,6
7WEDGLR8QD,P6530277,Display,134,No,1
F40IMBNY35,O5176512,Referral,65,No,3
VM897XRV4P,O9920541,Referral,74,Yes,1
PVV1GOP7XP,P9101653,Display,138,No,3
CNGLZJPSVP,O4128033,SEO,115,Yes,3
CJ82WPXDKO,P7977114,Paid Search,110,No,3
VTIX0TZVX5,P6861970,Display,111,Yes,1
HEI9X4O0BI,P9367897,Display,173,No,1
UXUGNLQM03,P1344649,Paid Search,72,No,1
JMWTIG9LRU,P5275701,Paid Search,405,No,4
J4FPC4L8Y8,O4422892,Referral,168,Yes,2
YS4SK1Y5QM,O3687048,SEO,171,No,3
3LHVNY84UU,P7627341,Paid Search,123,No,1
K3BR0KB4F5,O4020110,SEO,121,No,2
5YCETB6MDB,O9246055,Direct,178,Yes,3
FO16FTGL31,O6099569,Referral,142,No,2
C6SFEGKFBG,P9036727,Display,164,Yes,2
4I5AC4J1TA,O9833715,Referral,158,Yes,3
KWD0UX4R7P,P3299015,Paid Search,65,No,1
RIVXPQN0XK,O6494089,Direct,95,No,1
UUBU7MYCK3,P9779021,Paid Search,136,No,3
URZQ6UZZ4M,P7146705,Paid Search,132,No,2
LP1YEC9XAV,O5959677,Referral,140,No,3
AI2Y07WXG0,O4784977,Referral,132,No,2
BTRKQC529W,O2288804,SEO,137,No,2
C8LUJOP4KV,P2058815,Paid Search,65,Yes,1
XX4WKGJV8E,P6019394,Display,79,Yes,3
5FVRLWDDFO,O2396805,Referral,135,Yes,1
FJXJGHUO1T,P1632618,Display,156,No,1
YODFQ7NKBI,O5906800,Referral,125,Yes,2
65I4UI3MWB,O2051311,Direct,504,No,6
KI8Q545AXE,O1089353,SEO,98,No,1
VJ46VWMZZ0,P8813527,Display,152,No,1
B1W01SRA5L,P3161699,Display,148,No,2
QS6JU8ZOMQ,O8815317,Direct,114,No,3
L2D9WTFRTN,O2878643,Referral,67,Yes,2
89P5DR530I,O4625299,SEO,88,No,2
U57MRKY7ED,O4363658,Direct,66,No,2
Z249Q7NITU,P4682763,Paid Search,66,Yes,1
38A73CY07M,O8574020,SEO,88,No,2
SKATWER9JN,O8578074,Direct,116,Yes,1
OFUXSM4PG5,P1689367,Display,142,Yes,1
DTPGV5FHR6,P9225804,Display,174,No,2
852F89OEPC,P7453129,Paid Search,176,No,2
IRADGGPLOM,P2985278,Paid Search,79,No,1
10ZI6GB6IG,P9701099,Paid Search,118,No,1
61GMTS1S0T,P4811636,Display,62,No,2
LOL2MXWP5C,P9218635,Paid Search,179,No,2
WEBI4F6FSO,P5605028,Display,119,No,3
XWJZZPT20S,O1935662,SEO,149,Yes,2
ML6896K7DS,P1916464,Paid Search,160,Yes,3
AMZMIGSP1Z,O8086449,Direct,163,No,3
1ZGA99BZUV,O5843392,Referral,174,No,1
4F59CJQDCF,O1202853,SEO,80,Yes,3
99RAMB1EPE,P9439886,Paid Search,150,No,2
72Q289FOIS,P8951689,Display,92,No,2
JMZQ5QCA9R,O2626965,Referral,161,No,1
LHMGWGMKA9,P7224175,Display,175,Yes,1
1D9DGS6I6J,O1693925,Referral,76,Yes,1
TSLLDYXYEQ,O5164816,SEO,142,Yes,3
FBK72WN1G0,O7835640,SEO,75,Yes,1
5DSUD77M70,P5136286,Paid Search,134,No,3
I59QSLN664,O9954699,Direct,165,No,1
GGP5FFZ8N6,O6655591,SEO,156,No,2
B45RTZX4L4,O6987781,Direct,591,No,4
X4AOF1M5MI,P8048837,Paid Search,89,No,3
40ZHADKOSI,P8880393,Paid Search,131,No,3
FMAQGDNVPP,O1393632,Referral,91,No,2
PODR9EJ0YU,O6955559,SEO,156,Yes,3
J7GMVSQUQ7,P9801725,Display,153,No,2
IPXV5DLHY8,O7062323,Referral,108,Yes,3
Y5V767UEWD,O6911936,SEO,175,No,3
AE77XTOGIJ,O9550301,Direct,128,No,2
PBVS4VV34C,O6367254,Referral,72,Yes,2
0H5QGIDTKO,O2360572,SEO,159,No,1
I69P6QO48I,P8824639,Display,117,No,2
9S6HZZ0QMA,O7302337,Referral,109,No,3
A81ZQBGLNA,O2806124,Direct,575,No,4
MOI8Y8Q8DD,O6874057,SEO,103,No,2
HSGXA0OXNE,P6795649,Paid Search,549,No,5
G1KVV4D0VN,P5549981,Display,178,Yes,1
U2PBZSB84H,O5327585,SEO,105,No,3
O1TLXAX5UG,O9653177,SEO,129,No,3
4S96HBT9ME,O6144542,Referral,89,No,1
HV9951BHR1,O5577473,Referral,130,No,3
0SL73UR1G2,P2938474,Display,162,Yes,3
LF2P5R9ZOH,O6434083,SEO,109,Yes,3
YUQNEKJ2RP,O3521303,Direct,161,No,1
WIEV7827DE,P1760312,Paid Search,88,No,3
EMZXG0UZXB,O1282433,Direct,119,No,1
JTUYL5RRA4,P2867233,Paid Search,106,No,3
864TXBCR4O,P8875168,Display,79,Yes,2
VQ5HKYTXU9,O6315777,Referral,125,Yes,2
TSSOPQZNZP,O5213230,Referral,137,No,3
QCC9M4TZFJ,P4613332,Display,579,No,5
Z5V947M5UF,O3878308,SEO,584,No,5
KSWUSADZJ4,O8744715,Direct,112,No,1
PI1F9KRIH1,O2788068,Referral,130,No,1
184I2TZSXN,O5642479,Referral,97,Yes,2
XN5YX0ANCI,P8932732,Display,583,No,6
QVWOZCF285,P2772192,Display,148,No,2
MUF1CHC1NP,P8322508,Display,124,No,2
B9MH28FG1O,O6482292,SEO,156,Yes,2
WHG6L6TFEC,P5628420,Display,82,Yes,3
Q41WLQ9B2X,O6461677,SEO,136,No,3
E78GLPAP91,P8251665,Display,109,No,1
FFOR7DAG76,O3958279,Direct,90,No,2
PQAQ69KT4O,P9927214,Display,119,No,2
5P6RPK2LZ9,O8163983,Direct,169,Yes,1
OC68JVLYMP,O8898359,Referral,165,No,2
KF2K0GVJJ7,O3984971,Referral,70,Yes,3
KI2B9W2YXA,P4089946,Display,76,Yes,1
B3E66FGB8H,O8970035,Referral,145,No,3
YEIPU8ZBWT,O1492595,Direct,135,Yes,1
YYKZNEZ2XN,O7784566,SEO,62,No,3
97DK7E6AP9,P4381048,Paid Search,177,No,2
S7J4FZTWBN,P9352248,Display,85,No,3
IL0RJFB2ZG,P7409395,Display,120,No,1
TCHM2FBUQO,P4869045,Paid Search,90,No,2
D92PYGXRWL,O8167695,Direct,94,Yes,3
7LZMTDZ2V5,O4267633,Referral,113,No,2
5XJM67KOWS,P7608399,Display,87,No,1
36T2WSZV0N,O6551101,Referral,123,Yes,1
TAND48SFO2,O8590636,Direct,129,No,2
FUWGF4EF06,O1635599,SEO,82,Yes,2
886OQLK7H2,O6931898,Referral,76,Yes,2
7APPS3QR91,P7184745,Paid Search,73,No,3
H70R762U16,O5218477,Referral,111,No,1
VRZ6JH8O5M,O7493661,Referral,83,No,3
XTIZPAHGY0,O5841303,SEO,543,No,6
7FI91P0CIZ,O4013794,SEO,102,No,1
HY5FZAVNO7,P8795750,Paid Search,138,No,2
JLAECW88Q0,O9172138,Referral,141,No,3
7X3A7G94XD,P4640613,Paid Search,85,No,3
0ACPJJWVW6,O4298411,Direct,98,No,1
RO6QWVDRAL,O9386657,Referral,137,Yes,3
Q0OFVDZZS0,O9978893,Direct,113,No,3
E9QLW95EG4,P9929046,Paid Search,426,No,6
TRYFEJUFTD,P8342343,Display,143,Yes,3
U3PC14RCQV,P3460774,Paid Search,155,No,1
U4LNK5S5EV,P4002504,Display,153,No,3
SRAES65TZ0,O8840717,Referral,134,Yes,2
B6KLSDTVDM,P2391543,Paid Search,130,No,3
D0OQWH5NHT,P3775932,Paid Search,81,No,1
Y9X954JZQR,O1550326,SEO,155,No,3
UZ11RF5BPD,P4513536,Display,151,No,1
5FB21YBUAV,P7039981,Display,140,Yes,1
M2H44LLTA2,O2852349,Referral,124,Yes,1
GAXR4R904Y,O7481929,Direct,87,Yes,2
7OFDO3TR0O,O9424255,Referral,77,No,2
ZKJFMYF3AK,P9182402,Display,165,No,3
B4MHPFFLSH,O3704754,Referral,79,No,2
W1KV1P48S3,P2513907,Paid Search,178,Yes,2
PY3KS1DW84,P1194051,Display,169,No,2
I0RO9MK4MZ,O8710216,SEO,166,No,3
P69UJCRGHD,P4177974,Paid Search,484,No,6
9RC553ZS35,O8612752,SEO,149,Yes,3
SUH0E0DGI2,P3625208,Display,94,Yes,1
X7ENRD0R88,O3305219,Referral,95,Yes,1
AB2LI6B89Y,P9879294,Paid Search,152,No,1
KNB02SDAJB,O2907680,SEO,135,No,2
5YV6K6KB5E,P5697579,Paid Search,75,No,2
KHC49QVF6H,P4055928,Paid Search,161,Yes,3
B2LNPXZ9MX,O9076867,Referral,169,No,2
U9A6HQROKN,P1436819,Paid Search,128,No,3
RE6221WZE8,O2580131,Referral,112,No,2
UE9W9UODXB,O8280122,Referral,64,No,3
6S0YIE0BU6,P5376646,Display,85,No,3
5WT94YE8H7,P3785424,Display,78,Yes,2
AZB3KKD3AJ,P2088325,Paid Search,113,No,1
7EX9QI41K9,O2838007,Referral,106,Yes,3
UPF1LWC0UQ,O7978332,Referral,73,No,3
LO7V4X51RB,P8445346,Display,158,No,2
IILVOE6GZG,P7623573,Display,101,Yes,3
JXZB8OMOJM,P4253521,Paid Search,87,No,1
Q814DWRM6J,O8392442,SEO,80,Yes,3
NSBPX62IXA,O5123979,SEO,143,Yes,2
JXTVC3NT6F,P6798659,Paid Search,166,Yes,2
7P03CTWCXY,P9996123,Paid Search,155,No,2
1P7I3YMQ9I,O9282161,Referral,70,No,3
9G8OYAEPOP,O2036007,Referral,132,No,2
XVN8KYG87B,O7635080,SEO,139,Yes,2
J34W4H44PG,P8427101,Display,151,No,1
X87BKVT5TP,P5316667,Display,117,No,3
UYXLELGS6K,O4982351,Referral,89,Yes,1
SWM9UQROL8,O9816681,Referral,171,No,3
X3SZNS76RN,O3238990,SEO,148,No,2
BT7UH2MN4Q,P8434941,Paid Search,163,Yes,3
5FIO04N82X,P6471878,Display,100,No,3
KK4YE5AGGZ,P3028974,Display,173,No,3
QQB4P5F5AX,P3139073,Paid Search,100,No,1
DPVEOPIOW6,P1568462,Paid Search,147,No,1
842USBOKGV,O5869396,Direct,140,No,1
USX3MOXBZP,O5217530,SEO,82,No,2
3ECE0RJKMQ,O5426756,Direct,147,No,1
HXJ6GIG3X5,O1632012,Direct,465,No,4
A15MQ78SA8,O6469791,Direct,78,No,2
UK7ITZOI8T,O4374572,Direct,89,Yes,2
ZLN7QYPB88,P6452912,Paid Search,171,Yes,3
L39PN16ZSS,P3278376,Display,62,No,3
CLMHUOLQ3M,O8987639,Direct,459,No,4
LOUJFPUG8B,P3084413,Display,82,No,1
16Q4Y9LFE2,P5665075,Display,106,No,1
9Z58V3V8ZA,P8230047,Display,73,No,3
3XDRAKVOSX,P6445522,Display,150,Yes,3
OLH3NKS79J,P7660781,Display,79,No,1
JHD385SVZR,P5674731,Display,128,Yes,1
FJZYCAVBWW,P8715475,Display,96,Yes,2
RVOGHEBR65,P9300627,Paid Search,164,Yes,1
V1DZ3D6MIZ,P8045501,Paid Search,108,No,1
TV4DG4EXF4,O6727526,Referral,151,No,2
S9WPXNGABX,O9431791,Direct,84,No,3
TQ2OC56ZA8,P1969500,Paid Search,172,No,1
DKLGCY2BQ3,P1328066,Display,73,No,1
HNNQZCK7Z1,P3789003,Paid Search,107,No,1
5M8JPYJ5W5,O8386217,Direct,126,No,2
X1YS2FPDFL,P1812761,Display,119,Yes,3
8ANZQQQ72S,O9007040,SEO,138,No,2
OUXANCIA9C,P8146162,Display,81,Yes,1
7WREF4CI3N,P2718231,Paid Search,104,No,2
328G0ULGF1,P9731570,Display,115,No,1
9K612X8E9U,O6768154,SEO,172,No,2
7KBYMUNV3A,O4305669,Referral,146,No,3
NGS7EF7KD1,O1844884,Direct,433,No,6
F4CZPEVB5F,O1967777,Direct,130,No,3
W85S9D1YHU,O3112027,Referral,72,No,2
SSPW8ZRBYW,P3556992,Display,502,No,6
E6SCMVHMEZ,O4970199,SEO,60,Yes,2
X8PAW3AH2T,P2012145,Paid Search,99,No,1
Z6ZFMIR4UI,P8815731,Display,176,Yes,2
UED4FWW60H,P6585205,Paid Search,79,No,3
71UGXYXDD4,O1785326,SEO,133,Yes,2
XVD5J236CL,O1706209,Direct,534,No,6
8P33BY36O7,P4797470,Display,61,No,3
YTS2TI8KAN,P2765084,Display,79,No,2
SCZBXEROQI,O6827888,SEO,105,Yes,1
PKKQTL27UJ,O2399428,SEO,73,No,1
8IRB04TF8F,P3013986,Paid Search,84,No,2
52VJFE44SY,P9667938,Paid Search,63,No,3
REMIN2D3KW,O8812881,Direct,83,No,1
NO4T4KIWP2,O6126227,Referral,156,No,3
QH1FEAM24C,P1809702,Display,154,No,3
X1U43NLMP1,P9995496,Display,75,Yes,2
C7M5DF6DMT,O8518926,Referral,105,No,3
TLJMZHUEV7,O6406091,Direct,154,No,1
