UserID,ExposureID,SegmentType,Age,Gender,Income,OperatingSystem,Device,Browser,Location(DMA)
UzEvI,O2928530,3P Audience,29,Male,67362,iOS,Smartphone,Safari,"Cheyenne, Wyoming"
UlzEY,O6299218,3P Audience,47,Male,143537,Windows,Laptop,Microsoft Edge,"Laramie, Wyoming"
U7qLk,P5314662,1P Audience,32,Female,63397,iOS,Tablet,Safari,"Laramie, Wyoming"
UoRBB,O7798158,Custom Audience,22,Female,49502,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
Uj26t,O6651095,3P Audience,30,Female,62059,macOS,Desktop,Microsoft Edge,"Casper, Wyoming"
UU9jv,O6726447,3P Audience,28,Female,66350,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
UalOB,P9479903,1P Audience,46,Female,175868,iOS,Tablet,Safari,"Casper, Wyoming"
UaLbp,O1818982,Custom Audience,36,Female,104828,Android,Smartphone,Microsoft Edge,"Laramie, Wyoming"
UxEFv,P8394193,3P Audience,28,Male,68365,Android,Smartphone,Microsoft Edge,"Laramie, Wyoming"
Ube7A,O7790514,Custom Audience,55,Female,184534,Android,Smartphone,Microsoft Edge,"Casper, Wyoming"
UiSly,P7767954,3P Audience,31,Female,74845,macOS,Laptop,Microsoft Edge,"Cheyenne, Wyoming"
UMpsU,P3747731,1P Audience,41,Female,84265,Android,Tablet,Microsoft Edge,"Laramie, Wyoming"
UalOB,P7168719,1P Audience,46,Female,175868,Android,Smartphone,Microsoft Edge,"Casper, Wyoming"
UqcfI,O1075178,3P Audience,17,Female,58361,iOS,Tablet,Safari,"Casper, Wyoming"
UD1Ri,O1988061,Custom Audience,48,Female,136937,iOS,Smartphone,Safari,"Cheyenne, Wyoming"
Uc7jv,O8519264,3P Audience,52,Male,197585,Android,Tablet,Microsoft Edge,"Laramie, Wyoming"
UuezP,P5608774,3P Audience,25,Male,49837,Windows,Desktop,Microsoft Edge,"Casper, Wyoming"
UJI5N,O7931488,3P Audience,35,Male,74721,Linux,Laptop,Mozilla Firefox,"Casper, Wyoming"
UK06S,O9683887,3P Audience,48,Male,145403,iOS,Tablet,Safari,"Casper, Wyoming"
UHrmb,P2503475,1P Audience,31,Female,60478,macOS,Desktop,Microsoft Edge,"Laramie, Wyoming"
UdhRW,O3545159,3P Audience,41,Female,98511,Android,Smartphone,Microsoft Edge,"Cheyenne, Wyoming"
UTui2,O2312408,3P Audience,21,Male,52773,iOS,Smartphone,Safari,"Casper, Wyoming"
UQyXi,P1188069,3P Audience,51,Male,139381,Windows,Laptop,Microsoft Edge,"Cheyenne, Wyoming"
Uadda,P7794174,1P Audience,44,Male,110387,Windows,Desktop,Microsoft Edge,"Cheyenne, Wyoming"
UcMGp,P4769015,3P Audience,47,Female,198108,Windows,Laptop,Microsoft Edge,"Cheyenne, Wyoming"
UyPUQ,P4503732,1P Audience,25,Female,58715,Android,Tablet,Microsoft Edge,"Cheyenne, Wyoming"
UahFa,P7419671,1P Audience,42,Male,97916,Windows,Laptop,Microsoft Edge,"Cheyenne, Wyoming"
UHwpH,P8434087,3P Audience,44,Female,116515,Linux,Laptop,Mozilla Firefox,"Casper, Wyoming"
Uxr13,P2485754,Custom Audience,52,Male,145437,Linux,Laptop,Mozilla Firefox,"Cheyenne, Wyoming"
U9jrj,P6000273,1P Audience,18,Female,58272,macOS,Desktop,Microsoft Edge,"Cheyenne, Wyoming"
UaYZh,P3409280,1P Audience,23,Female,59360,macOS,Laptop,Microsoft Edge,"Laramie, Wyoming"
UFd3I,P1186816,1P Audience,34,Female,79562,Windows,Laptop,Microsoft Edge,"Casper, Wyoming"
U61fv,O5719782,3P Audience,51,Female,160777,macOS,Desktop,Microsoft Edge,"Casper, Wyoming"
UU9jv,P3935836,Custom Audience,28,Female,66350,Linux,Laptop,Mozilla Firefox,"Cheyenne, Wyoming"
UQKpm,O8284037,1P Audience,40,Female,113820,macOS,Laptop,Microsoft Edge,"Casper, Wyoming"
U7qLk,O5921710,Custom Audience,32,Female,63397,Android,Tablet,Microsoft Edge,"Cheyenne, Wyoming"
UBNoy,P8491562,Custom Audience,16,Female,59934,Windows,Desktop,Microsoft Edge,"Casper, Wyoming"
U3Wpl,P6230003,Custom Audience,39,Female,101945,Android,Tablet,Microsoft Edge,"Laramie, Wyoming"
UuezP,O3341045,Custom Audience,25,Male,49837,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
UQ2qd,P8870759,1P Audience,46,Male,193730,Windows,Laptop,Microsoft Edge,"Laramie, Wyoming"
UG4UK,O8829804,1P Audience,21,Male,43705,macOS,Laptop,Microsoft Edge,"Laramie, Wyoming"
UY8qD,P6017876,3P Audience,30,Female,75850,macOS,Desktop,Microsoft Edge,"Laramie, Wyoming"
UMpsU,O2627331,3P Audience,41,Female,84265,Android,Tablet,Microsoft Edge,"Laramie, Wyoming"
UxBhR,O9713670,1P Audience,19,Male,50941,Android,Tablet,Microsoft Edge,"Laramie, Wyoming"
U7qLk,P6636770,3P Audience,32,Female,63397,macOS,Laptop,Microsoft Edge,"Cheyenne, Wyoming"
UQKpm,P5132121,3P Audience,40,Female,113820,Windows,Desktop,Microsoft Edge,"Casper, Wyoming"
UbTIA,P9812179,1P Audience,29,Female,62114,iOS,Smartphone,Safari,"Laramie, Wyoming"
UaYZh,O6963484,3P Audience,23,Female,59360,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
Ua0cf,P8385277,Custom Audience,25,Female,41122,Android,Tablet,Microsoft Edge,"Cheyenne, Wyoming"
UQKpm,P9441232,3P Audience,40,Female,113820,Windows,Laptop,Microsoft Edge,"Cheyenne, Wyoming"
Uadda,O1396918,3P Audience,44,Male,110387,macOS,Laptop,Microsoft Edge,"Laramie, Wyoming"
UAL9y,O2593253,Custom Audience,28,Female,73440,Windows,Laptop,Microsoft Edge,"Casper, Wyoming"
UZpS5,P3275152,1P Audience,36,Male,110206,Android,Tablet,Microsoft Edge,"Cheyenne, Wyoming"
UfcNC,P5248415,1P Audience,26,Female,73991,Linux,Laptop,Mozilla Firefox,"Casper, Wyoming"
UdMuN,O7900842,3P Audience,33,Female,69044,Android,Tablet,Microsoft Edge,"Laramie, Wyoming"
UXKF6,P6251372,Custom Audience,33,Male,66540,Windows,Laptop,Microsoft Edge,"Casper, Wyoming"
Uuo2b,O1876829,3P Audience,23,Female,52287,Linux,Laptop,Mozilla Firefox,"Cheyenne, Wyoming"
U4QXW,O7738543,3P Audience,28,Female,79034,macOS,Desktop,Microsoft Edge,"Cheyenne, Wyoming"
UoSWo,O2179371,1P Audience,29,Male,76818,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
U508D,P6686898,3P Audience,36,Female,117154,Android,Smartphone,Microsoft Edge,"Green Bay, Wisconsin"
UQ2qd,O7550992,3P Audience,46,Male,193730,iOS,Smartphone,Safari,"Milwaukee, Wisconsin"
UaPch,O8220296,Custom Audience,37,Female,104174,macOS,Desktop,Microsoft Edge,"Madison, Wisconsin"
UdAx2,O5517411,1P Audience,20,Male,54197,Android,Tablet,Microsoft Edge,"Milwaukee, Wisconsin"
UuWMZ,P9952638,3P Audience,38,Male,114721,Windows,Laptop,Microsoft Edge,"Green Bay, Wisconsin"
ULTQL,P2826323,3P Audience,26,Male,64160,iOS,Tablet,Safari,"Madison, Wisconsin"
Uzxa3,O9648793,Custom Audience,41,Female,107828,Windows,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
UrGSH,P6380351,3P Audience,20,Male,48078,Android,Smartphone,Microsoft Edge,"Green Bay, Wisconsin"
Uvwjc,P1195410,1P Audience,25,Female,40265,iOS,Tablet,Safari,"Green Bay, Wisconsin"
UJ819,O6283400,Custom Audience,51,Male,170201,macOS,Laptop,Microsoft Edge,"Green Bay, Wisconsin"
UUewd,P3372793,Custom Audience,17,Male,47452,macOS,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
UQyXi,P6908348,3P Audience,51,Male,139381,macOS,Laptop,Microsoft Edge,"Madison, Wisconsin"
U3ffs,P9634943,3P Audience,17,Female,48648,iOS,Tablet,Safari,"Green Bay, Wisconsin"
UQImo,O4345455,1P Audience,50,Female,183965,Android,Tablet,Microsoft Edge,"Madison, Wisconsin"
UKCJA,O3289192,Custom Audience,19,Male,41580,Linux,Laptop,Mozilla Firefox,"Milwaukee, Wisconsin"
Uy1Se,P7124863,3P Audience,38,Male,96777,iOS,Smartphone,Safari,"Madison, Wisconsin"
UOLDx,P4085010,3P Audience,20,Male,40641,Android,Tablet,Microsoft Edge,"Green Bay, Wisconsin"
UQyXi,O9130192,1P Audience,51,Male,139381,iOS,Tablet,Safari,"Madison, Wisconsin"
Um7p0,P8727567,3P Audience,17,Female,40810,Windows,Desktop,Microsoft Edge,"Madison, Wisconsin"
UFusg,O7210231,1P Audience,23,Male,55641,macOS,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
U8p9m,O3881558,Custom Audience,26,Female,66560,Linux,Laptop,Mozilla Firefox,"Milwaukee, Wisconsin"
UgAwk,O3801087,1P Audience,30,Male,61584,iOS,Smartphone,Safari,"Milwaukee, Wisconsin"
UT0JV,O9674809,3P Audience,30,Female,65680,iOS,Smartphone,Safari,"Madison, Wisconsin"
U5FS9,O9234580,1P Audience,17,Female,56775,Android,Smartphone,Microsoft Edge,"Green Bay, Wisconsin"
UxBhR,P8809643,1P Audience,19,Male,50941,Windows,Desktop,Microsoft Edge,"Madison, Wisconsin"
Uqqyq,P4768673,Custom Audience,44,Female,100187,Windows,Desktop,Microsoft Edge,"Madison, Wisconsin"
Ue1mo,O1724881,Custom Audience,51,Male,128867,macOS,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
UX4ql,P1248270,Custom Audience,39,Male,108333,Linux,Laptop,Mozilla Firefox,"Madison, Wisconsin"
Uy1Se,O5454103,Custom Audience,38,Male,96777,macOS,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
U9Ag7,P9801372,3P Audience,26,Male,63133,iOS,Tablet,Safari,"Milwaukee, Wisconsin"
UJAyv,P7847598,Custom Audience,49,Female,152668,iOS,Smartphone,Safari,"Madison, Wisconsin"
Udr8e,P8995001,3P Audience,29,Female,60925,iOS,Smartphone,Safari,"Green Bay, Wisconsin"
UkxZn,O9238126,Custom Audience,33,Male,77836,Windows,Desktop,Microsoft Edge,"Green Bay, Wisconsin"
UVV2c,O3964755,3P Audience,19,Female,57298,Windows,Desktop,Microsoft Edge,"Madison, Wisconsin"
Us4SU,P6603246,Custom Audience,28,Male,79441,Windows,Laptop,Microsoft Edge,"Green Bay, Wisconsin"
UrNhf,O3717691,3P Audience,41,Male,82216,macOS,Desktop,Microsoft Edge,"Madison, Wisconsin"
UoBI9,P2557385,1P Audience,44,Female,109588,Android,Smartphone,Microsoft Edge,"Milwaukee, Wisconsin"
U7qLk,P6667635,Custom Audience,32,Female,63397,Android,Tablet,Microsoft Edge,"Milwaukee, Wisconsin"
UBROm,P7500638,1P Audience,43,Female,85682,Windows,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
UKppG,O7807853,1P Audience,24,Male,44469,Windows,Laptop,Microsoft Edge,"Milwaukee, Wisconsin"
U05u0,P3460375,3P Audience,54,Male,135634,Android,Tablet,Microsoft Edge,"Milwaukee, Wisconsin"
UoxaA,P3076235,Custom Audience,41,Female,106203,iOS,Tablet,Safari,"Green Bay, Wisconsin"
UJI5N,P6500240,1P Audience,35,Male,74721,Android,Smartphone,Microsoft Edge,"Madison, Wisconsin"
UPuU0,P8018387,Custom Audience,33,Female,69066,Windows,Laptop,Microsoft Edge,"Green Bay, Wisconsin"
U2vEg,P3115128,3P Audience,39,Male,100292,Android,Tablet,Microsoft Edge,"Madison, Wisconsin"
U7qYE,P6962338,Custom Audience,49,Female,191723,iOS,Tablet,Safari,"Madison, Wisconsin"
UKppG,P7784718,1P Audience,24,Male,44469,macOS,Laptop,Microsoft Edge,"Green Bay, Wisconsin"
UuQZk,P3436343,1P Audience,55,Female,172899,Android,Tablet,Microsoft Edge,"Green Bay, Wisconsin"
UQrVj,O8380459,1P Audience,28,Male,74286,Android,Smartphone,Microsoft Edge,"Madison, Wisconsin"
UG4UK,O1237079,1P Audience,21,Male,43705,Android,Tablet,Microsoft Edge,"Madison, Wisconsin"
UbTIA,P8805637,Custom Audience,29,Female,62114,iOS,Tablet,Safari,"Madison, Wisconsin"
UemQd,P2313459,1P Audience,27,Female,63855,Android,Tablet,Microsoft Edge,"Green Bay, Wisconsin"
UE5Xi,O1822148,1P Audience,46,Male,182632,Linux,Laptop,Mozilla Firefox,"Madison, Wisconsin"
UU54K,P9573334,1P Audience,54,Female,163170,iOS,Smartphone,Safari,"Madison, Wisconsin"
Uyx36,P2894779,3P Audience,38,Male,89377,macOS,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
USlyT,O9818497,Custom Audience,39,Male,89036,Android,Tablet,Microsoft Edge,"Milwaukee, Wisconsin"
UU9jv,O3968173,3P Audience,28,Female,66350,iOS,Tablet,Safari,"Milwaukee, Wisconsin"
U53KY,P2026145,3P Audience,38,Female,91642,Android,Smartphone,Microsoft Edge,"Madison, Wisconsin"
UQjii,P6032027,3P Audience,17,Female,48482,Windows,Desktop,Microsoft Edge,"Madison, Wisconsin"
UFsWY,O9368547,Custom Audience,45,Female,99929,Linux,Laptop,Mozilla Firefox,"Green Bay, Wisconsin"
UKj2K,O5773144,Custom Audience,34,Male,77145,Windows,Laptop,Microsoft Edge,"Madison, Wisconsin"
UHq4r,P2520204,Custom Audience,26,Female,70443,Windows,Laptop,Microsoft Edge,"Madison, Wisconsin"
UrGRL,P3771374,3P Audience,44,Male,88620,macOS,Desktop,Microsoft Edge,"Madison, Wisconsin"
UU54K,P8366642,1P Audience,54,Female,163170,iOS,Tablet,Safari,"Milwaukee, Wisconsin"
UaYZh,O8645143,Custom Audience,23,Female,59360,macOS,Laptop,Microsoft Edge,"Milwaukee, Wisconsin"
UBNoy,P6821166,3P Audience,16,Female,59934,macOS,Desktop,Microsoft Edge,"Madison, Wisconsin"
UU9jv,P5551102,3P Audience,28,Female,66350,iOS,Tablet,Safari,"Milwaukee, Wisconsin"
UxBhR,O2647768,1P Audience,19,Male,50941,Windows,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
U4zHy,O8336130,1P Audience,53,Female,185794,Android,Smartphone,Microsoft Edge,"Madison, Wisconsin"
U53KY,O7136922,1P Audience,38,Female,91642,iOS,Smartphone,Safari,"Green Bay, Wisconsin"
USlyT,O7034515,3P Audience,39,Male,89036,Windows,Desktop,Microsoft Edge,"Madison, Wisconsin"
UpD3n,O5288920,3P Audience,40,Female,87512,Windows,Laptop,Microsoft Edge,"Milwaukee, Wisconsin"
Unrzo,O2581118,3P Audience,42,Female,103250,iOS,Tablet,Safari,"Milwaukee, Wisconsin"
UTui2,O2742210,3P Audience,21,Male,52773,Windows,Desktop,Microsoft Edge,"Green Bay, Wisconsin"
U0Cg4,O3125497,1P Audience,17,Female,47569,Windows,Desktop,Microsoft Edge,"Green Bay, Wisconsin"
UaLbp,P2315077,Custom Audience,36,Female,104828,Windows,Desktop,Microsoft Edge,"Madison, Wisconsin"
UaYZh,P3279309,Custom Audience,23,Female,59360,iOS,Tablet,Safari,"Milwaukee, Wisconsin"
UU54K,P6567587,Custom Audience,54,Female,163170,Windows,Desktop,Microsoft Edge,"Green Bay, Wisconsin"
Udr8e,P3345367,1P Audience,29,Female,60925,Windows,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
UgpBw,O5607406,1P Audience,47,Female,145971,Windows,Desktop,Microsoft Edge,"Madison, Wisconsin"
Uyx36,P7877093,3P Audience,38,Male,89377,Android,Smartphone,Microsoft Edge,"Madison, Wisconsin"
Uvwjc,O4620059,Custom Audience,25,Female,40265,iOS,Tablet,Safari,"Milwaukee, Wisconsin"
UpbFP,P1032025,Custom Audience,36,Female,102000,iOS,Tablet,Safari,"Green Bay, Wisconsin"
UVlGs,O4234223,Custom Audience,31,Male,76391,Windows,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
UBk2v,P4949462,Custom Audience,52,Male,187511,Android,Tablet,Microsoft Edge,"Madison, Wisconsin"
UgpBw,O1715057,3P Audience,47,Female,145971,iOS,Smartphone,Safari,"Green Bay, Wisconsin"
UE5Xi,P6155819,1P Audience,46,Male,182632,Android,Tablet,Microsoft Edge,"Madison, Wisconsin"
UrNNV,P5234385,Custom Audience,31,Male,65221,Linux,Laptop,Mozilla Firefox,"Green Bay, Wisconsin"
UQAfT,P3999803,Custom Audience,29,Male,70093,iOS,Smartphone,Safari,"Milwaukee, Wisconsin"
UiFrE,P7823015,Custom Audience,50,Male,183901,macOS,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
UD1Ri,O5112078,3P Audience,48,Female,136937,iOS,Tablet,Safari,"Green Bay, Wisconsin"
Uc0Ek,O2861943,1P Audience,41,Male,103374,Linux,Laptop,Mozilla Firefox,"Madison, Wisconsin"
UK5y3,O1124739,Custom Audience,48,Female,175995,Windows,Desktop,Microsoft Edge,"Madison, Wisconsin"
U9jrj,O9184724,1P Audience,18,Female,58272,macOS,Desktop,Microsoft Edge,"Madison, Wisconsin"
Uvik7,O5436161,1P Audience,30,Male,68620,Windows,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
U4S9V,O5300268,Custom Audience,37,Female,80724,iOS,Smartphone,Safari,"Milwaukee, Wisconsin"
U4TUk,O4674310,1P Audience,34,Male,72749,Windows,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
UThyd,O5120146,1P Audience,51,Male,199831,Android,Smartphone,Microsoft Edge,"Milwaukee, Wisconsin"
UOLDx,P1114613,1P Audience,20,Male,40641,iOS,Tablet,Safari,"Milwaukee, Wisconsin"
UX4ql,O2722474,3P Audience,39,Male,108333,Linux,Laptop,Mozilla Firefox,"Green Bay, Wisconsin"
Uqqyq,O4971431,1P Audience,44,Female,100187,Android,Smartphone,Microsoft Edge,"Huntington, West Virginia"
UKppG,P7021244,Custom Audience,24,Male,44469,Linux,Laptop,Mozilla Firefox,"Huntington, West Virginia"
UW6GK,P7908435,1P Audience,28,Female,67701,macOS,Desktop,Microsoft Edge,"Huntington, West Virginia"
UAa1P,O8336938,Custom Audience,18,Male,44182,iOS,Tablet,Safari,"Morgantown, West Virginia"
UYt4q,O4771800,Custom Audience,34,Female,78242,macOS,Desktop,Microsoft Edge,"Morgantown, West Virginia"
UPX2W,P6601018,Custom Audience,22,Female,55258,macOS,Laptop,Microsoft Edge,"Huntington, West Virginia"
Ue1mo,P1550540,3P Audience,51,Male,128867,iOS,Smartphone,Safari,"Charleston, West Virginia"
UgAwk,P2093556,Custom Audience,30,Male,61584,macOS,Desktop,Microsoft Edge,"Charleston, West Virginia"
UoJoW,O3366346,1P Audience,38,Female,106631,macOS,Laptop,Microsoft Edge,"Morgantown, West Virginia"
UNtLC,O8144438,3P Audience,28,Male,67823,Windows,Laptop,Microsoft Edge,"Morgantown, West Virginia"
UGJpA,O5378002,3P Audience,38,Male,104477,iOS,Tablet,Safari,"Huntington, West Virginia"
URioX,O6493534,Custom Audience,39,Female,107092,iOS,Tablet,Safari,"Morgantown, West Virginia"
UE5Xi,O3773301,1P Audience,46,Male,182632,iOS,Smartphone,Safari,"Morgantown, West Virginia"
UtUjx,O9996566,1P Audience,18,Female,51362,macOS,Desktop,Microsoft Edge,"Huntington, West Virginia"
U1v65,P9049981,1P Audience,53,Male,184452,Android,Tablet,Microsoft Edge,"Morgantown, West Virginia"
UMRZO,P3949277,1P Audience,27,Male,69615,Android,Smartphone,Microsoft Edge,"Huntington, West Virginia"
UFPs0,P4407619,1P Audience,49,Female,137763,iOS,Tablet,Safari,"Morgantown, West Virginia"
U5ffd,P4070801,1P Audience,32,Male,78629,iOS,Smartphone,Safari,"Huntington, West Virginia"
UAXcH,P7889172,Custom Audience,24,Female,57718,Android,Tablet,Microsoft Edge,"Charleston, West Virginia"
UW6GK,P5947752,3P Audience,28,Female,67701,Android,Smartphone,Microsoft Edge,"Charleston, West Virginia"
UYniv,O6365656,3P Audience,51,Female,133456,iOS,Smartphone,Safari,"Huntington, West Virginia"
UJ8ER,P9164002,1P Audience,32,Female,63967,Android,Smartphone,Microsoft Edge,"Charleston, West Virginia"
U0fGe,O3205555,3P Audience,30,Male,67652,Android,Tablet,Microsoft Edge,"Huntington, West Virginia"
UrNNV,P1928748,3P Audience,31,Male,65221,iOS,Smartphone,Safari,"Charleston, West Virginia"
USbQW,O9445656,3P Audience,32,Female,75519,iOS,Tablet,Safari,"Huntington, West Virginia"
UZpS5,O2987487,Custom Audience,36,Male,110206,Linux,Laptop,Mozilla Firefox,"Huntington, West Virginia"
UrNhf,P4661598,Custom Audience,41,Male,82216,Android,Smartphone,Microsoft Edge,"Charleston, West Virginia"
UgPdD,P8327732,3P Audience,24,Female,57983,Android,Smartphone,Microsoft Edge,"Huntington, West Virginia"
Uvik7,P2641433,3P Audience,30,Male,68620,iOS,Tablet,Safari,"Huntington, West Virginia"
UCYoL,O9666687,3P Audience,17,Male,46298,macOS,Desktop,Microsoft Edge,"Huntington, West Virginia"
UmbS1,O5516906,1P Audience,29,Female,65746,Windows,Laptop,Microsoft Edge,"Huntington, West Virginia"
UFsWY,O1805310,3P Audience,45,Female,99929,iOS,Tablet,Safari,"Huntington, West Virginia"
Uyx36,O6029173,3P Audience,38,Male,89377,Windows,Desktop,Microsoft Edge,"Charleston, West Virginia"
UqcfI,O3806157,3P Audience,17,Female,58361,macOS,Laptop,Microsoft Edge,"Morgantown, West Virginia"
UgpBw,P7403355,1P Audience,47,Female,145971,iOS,Smartphone,Safari,"Huntington, West Virginia"
Uman0,P9194164,3P Audience,51,Female,182793,Android,Tablet,Microsoft Edge,"Morgantown, West Virginia"
UfIvb,P1419253,1P Audience,23,Male,59615,Android,Tablet,Microsoft Edge,"Huntington, West Virginia"
UCII5,O3027312,1P Audience,30,Female,63769,Android,Smartphone,Microsoft Edge,"Huntington, West Virginia"
UjUgD,P8041034,3P Audience,55,Male,152843,Windows,Laptop,Microsoft Edge,"Huntington, West Virginia"
U0HhS,O5776590,1P Audience,38,Male,87120,Android,Tablet,Microsoft Edge,"Morgantown, West Virginia"
U8p9m,O2659444,Custom Audience,26,Female,66560,Android,Smartphone,Microsoft Edge,"Huntington, West Virginia"
UeRvg,P7739044,1P Audience,36,Female,89001,Android,Smartphone,Microsoft Edge,"Huntington, West Virginia"
UKi2E,O7055220,3P Audience,44,Male,84781,Android,Smartphone,Microsoft Edge,"Huntington, West Virginia"
UOTAt,P5682407,Custom Audience,45,Female,115071,Windows,Desktop,Microsoft Edge,"Morgantown, West Virginia"
U0HhS,P7255829,1P Audience,38,Male,87120,macOS,Laptop,Microsoft Edge,"Charleston, West Virginia"
Uj26t,O1092279,1P Audience,30,Female,62059,iOS,Tablet,Safari,"Morgantown, West Virginia"
UrGRL,O6253280,3P Audience,44,Male,88620,macOS,Desktop,Microsoft Edge,"Morgantown, West Virginia"
UKCJA,P4552383,Custom Audience,19,Male,41580,macOS,Laptop,Microsoft Edge,"Morgantown, West Virginia"
UGzDx,O1890873,1P Audience,40,Female,102576,iOS,Tablet,Safari,"Morgantown, West Virginia"
